title,series,platform,genre,developer,publisher,rating,modes,year,release_eu,release_jp,release_na,plot
Nam 1965-1975 (USA),,Atari ST,STRATEGY,,Domark,OTHER_NOT_RATED,,1991,,,,
100 4 1 (Europe) (Unl),,Atari ST,PUZZLE,,Howard Clarke,OTHER_NOT_RATED,,1997,,,,
10th Frame (USA),,Atari ST,SPORTS_BOWLING,,Access,OTHER_NOT_RATED,,1987,,,,
180 (Europe) (Unl),,Atari ST,SPORTS_POOL_AND_DART,,Nathan Taylor,OTHER_NOT_RATED,,1994,,,,
1943 - The Battle of Midway (Europe),,Atari ST,SHOOT_EM_UP,,US Gold,OTHER_NOT_RATED,,1992,,,,
1944 (Europe) (Unl),,Atari ST,SHOOT_EM_UP,,-0,OTHER_NOT_RATED,,null,,,,
1st Division Manager (Europe),,Atari ST,SPORTS_SOCCER,,Codemasters,OTHER_NOT_RATED,,1992,,,,
1st Serve Tennis (Europe) (Unl),,Atari ST,SPORTS_TENNIS,,John Leaver,OTHER_NOT_RATED,,null,,,,
2-1 Bar (Europe),,Atari ST,MISCELLANEOUS,,Blue Ribbon Software,OTHER_NOT_RATED,,1990,,,,
20000 Leagues Under The Sea (Europe),,Atari ST,ADVENTURE,,Coktel Vision,OTHER_NOT_RATED,,1988,,,,
221B Baker Street (USA),,Atari ST,BOARD_GAMES,,Datasoft,OTHER_NOT_RATED,,1987,,,,
3-D Break-Thru (USA),,Atari ST,BREAKOUT,,Antic Software,OTHER_NOT_RATED,,1988,,,,
3-D Galax (Europe),,Atari ST,SHOOTER,,Gremlin Graphics,OTHER_NOT_RATED,,1989,,,,
3-D Pool (Europe),,Atari ST,SPORTS_POOL_AND_DART,,Firebird,OTHER_NOT_RATED,,1989,,,,
3-D Soccer (USA) (Unl),,Atari ST,SPORTS_SOCCER,,Ryan Simpson,OTHER_NOT_RATED,,1992,,,,
"3D Construction Kit, The (Europe)",,Atari ST,MISCELLANEOUS,,Domark,OTHER_NOT_RATED,,1991,,,,
3D Labyrinth (Germany) (Unl),,Atari ST,MAZE,,Werner Lang,OTHER_NOT_RATED,,null,,,,
3D Maze (Angus Muir) (Europe) (Unl),,Atari ST,MAZE,,Angus Muir,OTHER_NOT_RATED,,1988,,,,
3D Maze (Trevin Beattie) (Europe) (Unl),,Atari ST,MAZE,,Trevin Beattie,OTHER_NOT_RATED,,1992,,,,
3D Ski (Europe) (Unl),,Atari ST,SPORTS_SKIING,,Wacko Software,OTHER_NOT_RATED,,1989,,,,
4-7-11 (Europe) (Unl),,Atari ST,TABLETOP,,Easy Pill Software,OTHER_NOT_RATED,,1992,,,,
5 Intelligent Strategy Games (Europe) (Disk 1),,Atari ST,COMPILATION,,UBI Soft,OTHER_NOT_RATED,,1992,,,,
5 Intelligent Strategy Games (Europe) (Disk 2),,Atari ST,COMPILATION,,UBI Soft,OTHER_NOT_RATED,,1992,,,,
5 of a Kind (Europe) (Unl),,Atari ST,TABLETOP,,Databasement,OTHER_NOT_RATED,,1990,,,,
5 Shot (Europe) (Unl),,Atari ST,SHOOTER,,Wiz-Tek,OTHER_NOT_RATED,,1989,,,,
5th Gear (Europe),,Atari ST,SHOOT_EM_UP,,Hewson Consultants,OTHER_NOT_RATED,,1988,,,,
8 Ball (USA),,Atari ST,SPORTS_POOL_AND_DART,,MichTron,OTHER_NOT_RATED,,1986,,,,
9 Lives (Europe),,Atari ST,PLATFORM,,Atari Corp.,OTHER_NOT_RATED,,1990,,,,
A.P.B. - All Points Bulletin (Europe),,Atari ST,ACTION,,Domark,OTHER_NOT_RATED,,1989,,,,
A320 Airbus (Europe),,Atari ST,SIMULATION,,Thalion,OTHER_NOT_RATED,,1991,,,,
Aaargh! (Europe),,Atari ST,ACTION,,Melbourne House,OTHER_NOT_RATED,,1989,,,,
Abombinaball (Europe) (Unl),,Atari ST,PUZZLE,,ST Format,OTHER_NOT_RATED,,1992,,,,
ABZoo (Europe) (Disk 1),,Atari ST,EDUCATIONAL,,MichTron,OTHER_NOT_RATED,,1987,,,,
ABZoo (Europe) (Disk 2),,Atari ST,EDUCATIONAL,,MichTron,OTHER_NOT_RATED,,1987,,,,
Academy - Tau Ceti II (Europe),,Atari ST,SHOOTER,,CRL,OTHER_NOT_RATED,,1987,,,,
Action Fighter (USA),,Atari ST,SHOOT_EM_UP,,Sega,OTHER_NOT_RATED,,1989,,,,
Action Service (Europe),,Atari ST,BEAT_EM_UP,,Cobra Soft,OTHER_NOT_RATED,,1988,,,,
Addams Family (Europe),,Atari ST,PLATFORM,,Ocean Software,OTHER_NOT_RATED,,1992,,,,
Addictaball (Europe),,Atari ST,BREAKOUT,,Alligata Software,OTHER_NOT_RATED,,1987,,,,
Adidas Championship Tie Break (Europe),,Atari ST,SPORTS_TENNIS,,Starbyte,OTHER_NOT_RATED,,1990,,,,
Adrenalynn (Europe),,Atari ST,SPORTS_FUTURISTIC,,Exponentia,OTHER_NOT_RATED,,1991,,,,
ADS - Advanced Destroyer Simulator (Europe),,Atari ST,SHOOTER,,Futura,OTHER_NOT_RATED,,1990,,,,
Advanced Fruit Machine Simulator (Europe),,Atari ST,CASINO,,Codemasters,OTHER_NOT_RATED,,1987,,,,
Advanced Rugby Simulator (Europe),,Atari ST,SPORTS_RUGBY,,Codemasters,OTHER_NOT_RATED,,1988,,,,
Advanced Ski Simulator (Europe),,Atari ST,SPORTS_SKIING,,Codemasters,OTHER_NOT_RATED,,1989,,,,
Advantage Tennis (Europe),,Atari ST,SPORTS_TENNIS,,Infogrames,OTHER_NOT_RATED,,1991,,,,
"Adventures of Maddog Williams, The - The Dungeons of Duridian (Europe)",,Atari ST,ADVENTURE,,Game Crafters,OTHER_NOT_RATED,,1991,,,,
"Adventures of Quik & Silva, The (Europe)",,Atari ST,PLATFORM,,New Bits on the Ram,OTHER_NOT_RATED,,1991,,,,
"Adventures of Robin Hood, The (Europe)",,Atari ST,ROLE_PLAYING,,Millennium,OTHER_NOT_RATED,,1991,,,,
"Affaire, L' (Europe)",,Atari ST,ADVENTURE,,Infogrames,OTHER_NOT_RATED,,1987,,,,
African Raiders (Europe),,Atari ST,DRIVING,,Coktel Vision,OTHER_NOT_RATED,,1988,,,,
Afrika Korps (Europe) (Disk 1),,Atari ST,STRATEGY,,Impressions,OTHER_NOT_RATED,,1991,,,,
Afrika Korps (Europe) (Disk 2),,Atari ST,STRATEGY,,Impressions,OTHER_NOT_RATED,,1991,,,,
After Burner (Europe),,Atari ST,SHOOTER,,Activision,OTHER_NOT_RATED,,1988,,,,
After The War (Europe) (Disk 1),,Atari ST,BEAT_EM_UP,,Dinamic,OTHER_NOT_RATED,,1989,,,,
After The War (Europe) (Disk 2),,Atari ST,BEAT_EM_UP,,Dinamic,OTHER_NOT_RATED,,1989,,,,
AGE - Advanced Galactic Empire (Europe),,Atari ST,ADVENTURE,,Coktel Vision,OTHER_NOT_RATED,,1991,,,,
"Aigle d'Or, L' (France)",,Atari ST,ADVENTURE,,Loriciel,OTHER_NOT_RATED,,1991,,,,
Air Bucks (Europe),,Atari ST,STRATEGY,,Impressions,OTHER_NOT_RATED,,1992,,,,
Air Supply (Europe) (Disk 1),,Atari ST,SHOOT_EM_UP,,Magic Bytes,OTHER_NOT_RATED,,1990,,,,
Air Supply (Europe) (Disk 2),,Atari ST,SHOOT_EM_UP,,Magic Bytes,OTHER_NOT_RATED,,1990,,,,
Air Support (Europe) (Disk 1),,Atari ST,SIMULATION,,Psygnosis,OTHER_NOT_RATED,,1992,,,,
