title,series,platform,genre,developer,publisher,rating,modes,year,release_eu,release_jp,release_na,plot
Baseball Stars,,SNK Neo-Geo Pocket,SPORTS_BASEBALL,SNK,SNK,ESRB_RATING_PENDING,"SINGLE_PLAYER, TWO_PLAYERS",1998,,,,"Baseball Stars is sports game about baseball. Game is similar to Baseball Stars from NES but has less realistic characters and gameplay's style. You manage own baseball team and play in series of matches. Game has typical baseball rules - one player throws the ball, second hits the ball, someone else grabs it etc. Each character has own statistics, like stamina."
Dokodemo Mahjong,,SNK Neo-Geo Pocket,MAHJONG,ADK,ADK,ESRB_RATING_PENDING,SINGLE_PLAYER,1999,,,,"As the title suggests, this game lets players play a game of Mahjong. Players receive and discard tiles until they complete hands by forming groups and pairs. Players can choose to play on either a beginner, intermediate, or expert difficulty level. The expert skill level introduces a time limit to the proceedings. The game also keeps track of the score during gameplay"
King of Fighters R-1,,SNK Neo-Geo Pocket,FIGHTER,SNK,SNK,ESRB_RATING_PENDING,SINGLE_PLAYER,1999,,,,"Using the Japanese ""SD"" (Super-Deformed) artwork style, the KOF Series makes your debut in SNK's monochrome handheld bringing the same gameplay characteristics found in its arcade/console counter-part The King of Fighters '97, like the possibility of choose between two game modes (Advanced or Extra), an identical adaptation of the battle stages, the chance to battle against Leona and Iori in their Orochi-versions and the same storyline involving the New Faces Team (Yashiro Nanakase, Shermie and Chris), that are using the tournament to accumulate enough energy to wake up his supreme master: Orochi."
Melon-chan no Seichou Nikki,,SNK Neo-Geo Pocket,SIMULATION,SNK,ADK,ESRB_RATING_PENDING,SINGLE_PLAYER,1998,,,,"Melon-Chan's Growth Diary is a life simulation game (similar to small ""Tamagotchi"" games), the player controls the small girl Melon-chan. He manages her behaviour — food, rest, entertainment and shopping. Melon can walk around the city to buy new things. The game has a clock — in night shops are closed."
Neo Cherry Master - Real Casino Series,,SNK Neo-Geo Pocket,CASINO,Dyna Corporation,Dyna Corporation,ESRB_RATING_PENDING,SINGLE_PLAYER,1999,,,,"Neo Cherry Master (or Real Casino Series: Neo Cherry Master) is a fruit machine/""one-armed bandit"" simulator. Simple - spin the reels and wait for luck - identical fruits in the row. Controls are simple: player push A button to spin the reels and the B button to increase ""credits"". No real gambling - player can't lose real money."
Neo Geo Cup '98,,SNK Neo-Geo Pocket,SPORTS_SOCCER,SNK,SNK,ESRB_RATING_PENDING,"SINGLE_PLAYER, TWO_PLAYERS",1999,,,,"Neo Geo Cup '98 is a football/soccer game for the Neo Geo Pocket. This version is different from Neo Geo Cup '98: The Road to the Victory — here playing field is vertical-scrolling, not side-scrolling. The game has less national teams than the bigger version — the player can choose one from 16 teams. Neo Geo Cup '98 is an unofficial adaptation of the World Cup - SNK has made a fictional Neo Geo Cup. Gameplay is quite simple; the player controls a football team and must win matches against rival teams. The game uses simple ""2-buttons and stick"" controls (limits of the Neo Geo Pocket)."
Pocket Tennis - Pocket Sports Series,,SNK Neo-Geo Pocket,SPORTS_TENNIS,Yumekobo,SNK,ESRB_RATING_PENDING,"SINGLE_PLAYER, TWO_PLAYERS",1999,,,,"Pocket Tennis a simple tennis game with two play modes: Exhibition and Tournament. Exhibition is a single match against computer or human opponent (requires link cable). There do exist eight player characters with different skills (human player must select one of those eight characters too) and four (five in the color version) different courts. Also amount of sets per game can be selected (1, 3 or 5). Tournament is only against computer. Human player can pick his/her character but not the computer opponent. Also selection of courts and amount of sets is missing. Three games will be played: quarter and semifinals and of course the final."
Renketsu Puzzle Tsunagete Pon!,,SNK Neo-Geo Pocket,PUZZLE,Yumekobo,SNK,ESRB_RATING_PENDING,SINGLE_PLAYER,1999,,,,"Puzzle Link is a game where blocks of matching color have to be dissolved. New blocks constantly scroll into the screen from the top. The game is over when the first blocks reach the bottom of the screen. You can dissolve blocks by shooting at them. The shots form a line where they impact. If that line connects otherwise unconnected blocks of the same color they will dissolve. There are three different modes: In ""Normal"" you have to link two special blocks that appear after some time. If you manage to finish the level within the time limit you will unlock one of 50 collectible cards. In ""Clear Mode"" you have to clear a given constellation of blocks. ""Battle Mode"" is a two player link-cable mode."
Samurai Shodown! - Pocket Fighting Series,,SNK Neo-Geo Pocket,FIGHTER,SNK,SNK,ESRB_RATING_PENDING,"SINGLE_PLAYER, TWO_PLAYERS",1998,,,,"In early feudal Japan, a man named Shiro Tokisada Amakusa preaches a heretic religion. Little does anyone know that Amakusa is really a servant of the evil Ambrosia, who had possessed and taken over Amakusa's body, as Ambrosia wishes to shroud the world into eternal darkness. Now, the player must select from out of 12 fierce warriors and plus 3 bonus characters in order to fight for the honor of defeating Amakusa once and for all, while fulfilling a specific mission for each and every warrior in the game."
Shougi no Tatsujin,,SNK Neo-Geo Pocket,STRATEGY,ADK,SNK,ESRB_RATING_PENDING,"SINGLE_PLAYER, TWO_PLAYERS",1999,,,,"Syougi (usually transliterated as shōgi) is ""Japanese chess"" - a turn-based board game (the board has 9x9 squares) very similar to normal chess, but all pieces are different. There we have: -1 king -1 rook -1 bishop -2 gold generals -2 silver generals -2 knights -2 lances -9 pawns. Each unit has own move and all units are weaker than chess counterparts (for example Knight/Horse can't go backward), but all figures can be promoted and gain new moves. The player must defeat the enemy's king. Master of Syougi is an electronic version of this classic board game, where players can choose fight characters to fight and change several rules."
