title,series,platform,genre,developer,publisher,rating,modes,year,release_eu,release_jp,release_na,plot
3 Count Bout,,Neo Geo AES,"FIGHTING, SPORTS",SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1993,1993-04-23,1993-04-23,1993-04-23,
Aero Fighters 2,Aero Fighters,Neo Geo AES,SHOOT_EM_UP,Video System,"SNK, Video System",ESRB_EVERYONE_10_PLUS,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-08-26,1994-08-26,1994-08-26,
Aero Fighters 3,Aero Fighters,Neo Geo AES,SHOOT_EM_UP,Video System,"SNK, Video System",ESRB_EVERYONE_10_PLUS,"SINGLE_PLAYER, TWO_PLAYERS",1995,1995-11-17,1995-11-17,1995-11-17,
Aggressors of Dark Kombat,,Neo Geo AES,FIGHTING,ADK,"ADK,SNK",ESRB_EVERYONE_10_PLUS,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-08-26,1994-08-26,1994-08-26,
Alpha Mission II,,Neo Geo AES,SHOOT_EM_UP,SNK,SNK,ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1991,1991-07-01,1991-07-01,1991-07-01,
Andro Dunos,,Neo Geo AES,SHOOT_EM_UP,Visco,"SNK,Visco",,"SINGLE_PLAYER, TWO_PLAYERS",1992,1992-07-17,1992-07-17,1992-07-17,
Art of Fighting,Art of Fighting,Neo Geo AES,FIGHTING,SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1992,1992-12-11,1992-12-11,1992-12-11,
Art of Fighting 2,Art of Fighting,Neo Geo AES,FIGHTING,SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-03-11,1994-03-11,1994-03-11,
Art of Fighting 3: The Path of the Warrior,Art of Fighting,Neo Geo AES,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1996,1996-04-26,1996-04-26,1996-04-26,
Bakatono-sama Mahjong Manyūki,,Neo Geo AES,BOARD_GAMES,Monolith,"Monolith, SNK",,SINGLE_PLAYER,1991,1991-12-20,1991-12-20,1991-12-20,
Baseball Stars Professional,Baseball Stars,Neo Geo AES,SPORTS,SNK,SNK,ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1990,1991-07-01,1991-07-01,1991-07-01,
Baseball Stars 2,Baseball Stars,Neo Geo AES,SPORTS,SNK,SNK,ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1992,1992-04-28,1992-04-28,1992-04-28,
