title,series,platform,genre,developer,publisher,rating,modes,year,release_eu,release_jp,release_na,plot
3 Count Bout,,Neo Geo CD,"FIGHTING, SPORTS",SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1993,1995-04-21,1995-04-21,1995-04-21,
Aero Fighters 2,Aero Fighters,Neo Geo CD,SHOOT_EM_UP,Video System,"SNK, Video System",ESRB_EVERYONE_10_PLUS,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-09-29,1994-09-29,1994-09-29,
Aero Fighters 3,Aero Fighters,Neo Geo CD,SHOOT_EM_UP,Video System,"SNK, Video System",ESRB_EVERYONE_10_PLUS,"SINGLE_PLAYER, TWO_PLAYERS",1995,1995-12-08,1995-12-08,1995-12-08,
Aggressors of Dark Kombat,,Neo Geo CD,FIGHTING,ADK,"ADK,SNK",ESRB_EVERYONE_10_PLUS,"SINGLE_PLAYER, TWO_PLAYERS",1994,1995-01-13,1995-01-13,1995-01-13,
Alpha Mission II,,Neo Geo CD,SHOOT_EM_UP,SNK,SNK,ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1991,1994-09-09,1994-09-09,1994-09-09,
Art of Fighting,Art of Fighting,Neo Geo CD,FIGHTING,SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1992,1994-09-09,1994-09-09,1994-09-09,
Art of Fighting 2,Art of Fighting,Neo Geo CD,FIGHTING,SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-09-09,1994-09-09,1994-09-09,
Art of Fighting 3: The Path of the Warrior,Art of Fighting,Neo Geo CD,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1996,1996-06-14,1996-06-14,1996-06-14,
Baseball Stars Professional,Baseball Stars,Neo Geo CD,SPORTS,SNK,SNK,ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1990,1995-04-21,1995-04-21,1995-04-21,
Baseball Stars 2,Baseball Stars,Neo Geo CD,SPORTS,SNK,SNK,ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1992,1994-09-09,1994-09-09,1994-09-09,
Blue's Journey,,Neo Geo CD,PLATFORM,Alpha Denshi,"Alpha Denshi, SNK",ESRB_EVERYONE,SINGLE_PLAYER,1991,1994-10-31,1994-10-31,1994-10-31,
Breakers,Breakers,Neo Geo CD,FIGHTING,Visco,"SNK, Visco",ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1996,1997-04-25,1997-04-25,1997-04-25,
Burning Fight,,Neo Geo CD,BEAT_EM_UP,SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1991,1994-09-09,1994-09-09,1994-09-09,
Crossed Swords,,Neo Geo CD,"ACTION, ROLE_PLAYING",Alpha Denshi,"Alpha Denshi, SNK",ESRB_TEEN,SINGLE_PLAYER,1991,1994-10-31,1994-10-31,1994-10-31,
Cyber-Lip,,Neo Geo CD,RUN_AND_GUN,SNK,SNK,ESRB_TEEN,SINGLE_PLAYER,1990,1995-04-21,1995-04-21,1995-04-21,
Double Dragon,,Neo Geo CD,FIGHTING,Technōs Japan,"SNK, Technōs Japan Corp.",ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1995,1995-06-02,1995-06-02,1995-06-02,
Far East of Eden: Kabuki Klash,,Neo Geo CD,FIGHTING,"Racjin, Red Entertainment","Hudson Soft, SNK",,SINGLE_PLAYER,1995,1995-11-24,1995-11-24,1995-11-24,
Fatal Fury: King of Fighters,Fatal Fury,Neo Geo CD,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1991,1994-09-09,1994-09-09,1994-09-09,
Fatal Fury 2,Fatal Fury,Neo Geo CD,FIGHTING,SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1992,1994-09-09,1994-09-09,1994-09-09,
Fatal Fury 3: Road to the Final Victory,Fatal Fury,Neo Geo CD,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1995,1995-04-28,1995-04-28,1995-04-28,
Fatal Fury Special,Fatal Fury,Neo Geo CD,FIGHTING,SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1993,1994-09-09,1994-09-09,1994-09-09,
Football Frenzy,,Neo Geo CD,SPORTS,SNK,SNK,ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1992,1994-09-09,1994-09-09,1994-09-09,
Galaxy Fight: Universal Warriors,,Neo Geo CD,FIGHTING,Sunsoft,"SNK, Sunsoft",,"SINGLE_PLAYER, TWO_PLAYERS",1995,1995-04-21,1995-04-21,1995-04-21,
Ghost Pilots,,Neo Geo CD,SHOOT_EM_UP,SNK,SNK,ESRB_TEEN,SINGLE_PLAYER,1991,1995-03-17,1995-03-17,1995-03-17,
Karnov's Revenge,,Neo Geo CD,FIGHTING,Data East,"Data East, SNK",ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-12-22,1994-12-22,1994-12-22,
The King of Fighters '94,The King of Fighters,Neo Geo CD,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-11-02,1994-11-02,1994-11-02,
The King of Fighters '95,The King of Fighters,Neo Geo CD,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1995,1995-09-29,1995-09-29,1995-09-29,
The King of Fighters '96,The King of Fighters,Neo Geo CD,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1996,1996-10-25,1996-10-25,1996-10-25,
