title,series,platform,genre,developer,publisher,rating,modes,year,release_eu,release_jp,release_na,plot
3 Count Bout,,Neo Geo MVS,"FIGHTING, SPORTS",SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1993,1993-03-25,1993-03-25,1993-03-25,
Aero Fighters 2,Aero Fighters,Neo Geo MVS,SHOOT_EM_UP,Video System,"SNK, Video System",ESRB_EVERYONE_10_PLUS,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-07-18,1994-07-18,1994-07-18,
Aero Fighters 3,Aero Fighters,Neo Geo MVS,SHOOT_EM_UP,Video System,"SNK, Video System",ESRB_EVERYONE_10_PLUS,"SINGLE_PLAYER, TWO_PLAYERS",1995,1995-10-12,1995-10-12,1995-10-12,
Aggressors of Dark Kombat,,Neo Geo MVS,FIGHTING,ADK,"ADK,SNK",ESRB_EVERYONE_10_PLUS,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-07-26,1994-07-26,1994-07-26,
Alpha Mission II,,Neo Geo MVS,SHOOT_EM_UP,SNK,SNK,ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1991,1991-03-25,1991-03-25,1991-03-25,
Andro Dunos,,Neo Geo MVS,SHOOT_EM_UP,Visco,"SNK,Visco",,"SINGLE_PLAYER, TWO_PLAYERS",1992,1992-06-15,1992-06-15,1992-06-15,
Art of Fighting,Art of Fighting,Neo Geo MVS,FIGHTING,SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1992,1992-09-24,1992-09-24,1992-09-24,
Art of Fighting 2,Art of Fighting,Neo Geo MVS,FIGHTING,SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-02-03,1994-02-03,1994-02-03,
Art of Fighting 3: The Path of the Warrior,Art of Fighting,Neo Geo MVS,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1996,1996-03-12,1996-03-12,1996-03-12,
Bakatono-sama Mahjong Manyūki,,Neo Geo MVS,BOARD_GAMES,Monolith,"Monolith, SNK",,SINGLE_PLAYER,1991,1991-12-13,1991-12-13,1991-12-13,
Baseball Stars Professional,Baseball Stars,Neo Geo MVS,SPORTS,SNK,SNK,ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1990,1990-04-26,1990-04-26,1990-04-26,
Baseball Stars 2,Baseball Stars,Neo Geo MVS,SPORTS,SNK,SNK,ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1992,1992-04-15,1992-04-15,1992-04-15,
Battle Flip Shot,,Neo Geo MVS,SPORTS,Visco,"SNK, Visco",,SINGLE_PLAYER,1998,1998-12-08,1998-12-08,1998-12-08,
Blazing Star,,Neo Geo MVS,SHOOT_EM_UP,"Aicom, Yumekobo","SNK, Yumekobo",,SINGLE_PLAYER,1998,1998-01-19,1998-01-19,1998-01-19,
Blue's Journey,,Neo Geo MVS,PLATFORM,Alpha Denshi,"Alpha Denshi, SNK",ESRB_EVERYONE,SINGLE_PLAYER,1991,1991-03-14,1991-03-14,1991-03-14,
Panic Bomber,,Neo Geo MVS,PUZZLE,Hudson Soft,SNK,,SINGLE_PLAYER,1995,1995-01-18,1995-01-18,1995-01-18,
Breakers,Breakers,Neo Geo MVS,FIGHTING,Visco,"SNK, Visco",ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1996,1996-12-17,1996-12-17,1996-12-17,
Breakers Revenge,Breakers,Neo Geo MVS,FIGHTING,Visco,"SNK, Visco",,"SINGLE_PLAYER, TWO_PLAYERS",1998,1998-07-03,1998-07-03,1998-07-03,
Burning Fight,,Neo Geo MVS,BEAT_EM_UP,SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1991,1991-05-20,1991-05-20,1991-05-20,
Captain Tomaday,,Neo Geo MVS,SHOOT_EM_UP,Visco,"SNK, Visco",,"SINGLE_PLAYER, TWO_PLAYERS",1999,1999-05-27,1999-05-27,1999-05-27,
Chibi Maruko-chan: Maruko Deluxe Quiz,,Neo Geo MVS,QUIZ,Be Top,"SNK, Takara",,SINGLE_PLAYER,1995,1995-11-27,1995-11-27,1995-11-27,
Crossed Swords,,Neo Geo MVS,"ACTION, ROLE_PLAYING",Alpha Denshi,"Alpha Denshi, SNK",ESRB_TEEN,SINGLE_PLAYER,1991,1991-07-25,1991-07-25,1991-07-25,
Cyber-Lip,,Neo Geo MVS,RUN_AND_GUN,SNK,SNK,ESRB_TEEN,SINGLE_PLAYER,1990,1990-11-07,1990-11-07,1990-11-07,
Double Dragon,,Neo Geo MVS,FIGHTING,Technōs Japan,"SNK, Technōs Japan Corp.",ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1995,1995-03-03,1995-03-03,1995-03-03,
Eight Man,,Neo Geo MVS,BEAT_EM_UP,"Pallas, SNK","Pallas, SNK",,SINGLE_PLAYER,1991,1991-06-07,1991-06-07,1991-06-07,
Far East of Eden: Kabuki Klash,,Neo Geo MVS,FIGHTING,"Racjin, Red Entertainment","Hudson Soft, SNK",,SINGLE_PLAYER,1995,1995-06-20,1995-06-20,1995-06-20,
Fatal Fury: King of Fighters,Fatal Fury,Neo Geo MVS,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1991,1991-11-25,1991-11-25,1991-11-25,
Fatal Fury 2,Fatal Fury,Neo Geo MVS,FIGHTING,SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1992,1992-12-10,1992-12-10,1992-12-10,
Fatal Fury 3: Road to the Final Victory,Fatal Fury,Neo Geo MVS,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1995,1995-03-27,1995-03-27,1995-03-27,
Fatal Fury Special,Fatal Fury,Neo Geo MVS,FIGHTING,SNK,SNK,ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1993,1993-09-16,1993-09-16,1993-09-16,
Fight Fever,,Neo Geo MVS,FIGHTING,"Viccom, SNK","SNK, Viccom",,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-06-28,1994-06-28,1994-06-28,
Football Frenzy,,Neo Geo MVS,SPORTS,SNK,SNK,ESRB_EVERYONE,"SINGLE_PLAYER, TWO_PLAYERS",1992,1992-01-31,1992-01-31,1992-01-31,
Galaxy Fight: Universal Warriors,,Neo Geo MVS,FIGHTING,Sunsoft,"SNK, Sunsoft",,"SINGLE_PLAYER, TWO_PLAYERS",1995,1995-01-24,1995-01-24,1995-01-24,
Garou: Mark of the Wolves,Fatal Fury,Neo Geo MVS,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1999,1999-11-26,1999-11-26,1999-11-26,
Ghost Pilots,,Neo Geo MVS,SHOOT_EM_UP,SNK,SNK,ESRB_TEEN,SINGLE_PLAYER,1991,1991-01-25,1991-01-25,1991-01-25,
Karnov's Revenge,,Neo Geo MVS,FIGHTING,Data East,"Data East, SNK",ESRB_TEEN,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-03-17,1994-03-17,1994-03-17,
The King of Fighters '94,The King of Fighters,Neo Geo MVS,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1994,1994-08-25,1994-08-25,1994-08-25,
The King of Fighters '95,The King of Fighters,Neo Geo MVS,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1995,1995-07-25,1995-07-25,1995-07-25,
The King of Fighters '96,The King of Fighters,Neo Geo MVS,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1996,1996-07-30,1996-07-30,1996-07-30,
The King of Fighters '97,The King of Fighters,Neo Geo MVS,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1997,1997-07-28,1997-07-28,1997-07-28,
The King of Fighters '98: The Slugfest,The King of Fighters,Neo Geo MVS,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1998,1998-07-23,1998-07-23,1998-07-23,
The King of Fighters '99: Millennium Battle,The King of Fighters,Neo Geo MVS,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1999,1999-07-22,1999-07-22,1999-07-22,
The King of Fighters 2000,The King of Fighters,Neo Geo MVS,FIGHTING,SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",2000,2000-07-26,2000-07-26,2000-07-26,
The King of Fighters 2001,The King of Fighters,Neo Geo MVS,FIGHTING,Eolith,SNK Playmore,,"SINGLE_PLAYER, TWO_PLAYERS",2001,2001-11-15,2001-11-15,2001-11-15,
The King of Fighters 2002: Challenge to Ultimate Battle,The King of Fighters,Neo Geo MVS,FIGHTING,Eolith,"Eolith, Playmore",,"SINGLE_PLAYER, TWO_PLAYERS",2002,2002-10-10,2002-10-10,2002-10-10,
The King of Fighters 2003,The King of Fighters,Neo Geo MVS,FIGHTING,SNK Playmore,SNK Playmore,,"SINGLE_PLAYER, TWO_PLAYERS",2003,2003-12-12,2003-12-12,2003-12-12,
King of the Monsters,King of the Monsters,Neo Geo MVS,"FIGHTING, SPORTS_WRESTLING",SNK,SNK,,"SINGLE_PLAYER, TWO_PLAYERS",1991,1991-02-25,1991-02-25,1991-02-25,
